Day,Day_f,Jar,Block,Temp,Temp_f,Trt,Rep,Species,PredComp,Dens
10,10,81,A,22,22,Glauc,3,Glauc,No,1683
10,10,97,A,22,22,GlaucP.cau,1,Glauc,Yes,958
10,10,97,A,22,22,GlaucP.cau,1,P.cau,Yes,108
10,10,98,A,22,22,GlaucP.cau,2,Glauc,Yes,995
10,10,98,A,22,22,GlaucP.cau,2,P.cau,Yes,135
10,10,99,A,22,22,GlaucP.cau,3,Glauc,Yes,1060
10,10,99,A,22,22,GlaucP.cau,3,P.cau,Yes,160
10,10,85,A,22,22,P.cau,1,P.cau,No,187
10,10,86,A,22,22,P.cau,2,P.cau,No,209
10,10,87,A,22,22,P.cau,3,P.cau,No,147
10,10,73,A,22,22,Tetra,1,Tetra,No,2845
10,10,74,A,22,22,Tetra,2,Tetra,No,1995
10,10,75,A,22,22,Tetra,3,Tetra,No,2023
10,10,91,A,22,22,TetraP.cau,1,Tetra,Yes,3023
10,10,91,A,22,22,TetraP.cau,1,P.cau,Yes,43
10,10,92,A,22,22,TetraP.cau,2,Tetra,Yes,608
10,10,92,A,22,22,TetraP.cau,2,P.cau,Yes,116
10,10,93,A,22,22,TetraP.cau,3,Tetra,Yes,690
10,10,93,A,22,22,TetraP.cau,3,P.cau,Yes,179
10,10,145,A,25,25,Glauc,1,Glauc,No,447
10,10,146,A,25,25,Glauc,2,Glauc,No,819
10,10,147,A,25,25,Glauc,3,Glauc,No,952
10,10,163,A,25,25,GlaucP.cau,1,Glauc,Yes,402
10,10,163,A,25,25,GlaucP.cau,1,P.cau,Yes,81
10,10,164,A,25,25,GlaucP.cau,2,Glauc,Yes,1028
10,10,164,A,25,25,GlaucP.cau,2,P.cau,Yes,369
10,10,165,A,25,25,GlaucP.cau,3,Glauc,Yes,717
10,10,165,A,25,25,GlaucP.cau,3,P.cau,Yes,261
10,10,151,A,25,25,P.cau,1,P.cau,No,186
10,10,152,A,25,25,P.cau,2,P.cau,No,190
10,10,153,A,25,25,P.cau,3,P.cau,No,211
10,10,139,A,25,25,Tetra,1,Tetra,No,1383
10,10,140,A,25,25,Tetra,2,Tetra,No,1155
10,10,141,A,25,25,Tetra,3,Tetra,No,1434
10,10,157,A,25,25,TetraP.cau,1,Tetra,Yes,493
10,10,157,A,25,25,TetraP.cau,1,P.cau,Yes,168
10,10,158,A,25,25,TetraP.cau,2,Tetra,Yes,581
10,10,158,A,25,25,TetraP.cau,2,P.cau,Yes,298
10,10,159,A,25,25,TetraP.cau,3,Tetra,Yes,822
10,10,159,A,25,25,TetraP.cau,3,P.cau,Yes,263
10,10,16,B,19,19,Glauc,4,Glauc,No,1166
10,10,17,B,19,19,Glauc,5,Glauc,No,888
10,10,18,B,19,19,Glauc,6,Glauc,No,854
10,10,34,B,19,19,GlaucP.cau,4,Glauc,Yes,845
10,10,34,B,19,19,GlaucP.cau,4,P.cau,Yes,18
10,10,35,B,19,19,GlaucP.cau,5,Glauc,Yes,1042
10,10,35,B,19,19,GlaucP.cau,5,P.cau,Yes,106
10,10,36,B,19,19,GlaucP.cau,6,Glauc,Yes,1086
10,10,36,B,19,19,GlaucP.cau,6,P.cau,Yes,41
10,10,22,B,19,19,P.cau,4,P.cau,No,29
10,10,23,B,19,19,P.cau,5,P.cau,No,93
10,10,24,B,19,19,P.cau,6,P.cau,No,145
10,10,10,B,19,19,Tetra,4,Tetra,No,1690
10,10,11,B,19,19,Tetra,5,Tetra,No,1935
10,10,12,B,19,19,Tetra,6,Tetra,No,1125
10,10,28,B,19,19,TetraP.cau,4,Tetra,Yes,327
10,10,28,B,19,19,TetraP.cau,4,P.cau,Yes,38
10,10,29,B,19,19,TetraP.cau,5,Tetra,Yes,1078
10,10,29,B,19,19,TetraP.cau,5,P.cau,Yes,99
10,10,30,B,19,19,TetraP.cau,6,Tetra,Yes,589
10,10,30,B,19,19,TetraP.cau,6,P.cau,Yes,51
10,10,82,B,22,22,Glauc,4,Glauc,No,732
10,10,83,B,22,22,Glauc,5,Glauc,No,1413
10,10,84,B,22,22,Glauc,6,Glauc,No,1657
10,10,100,B,22,22,GlaucP.cau,4,Glauc,Yes,1100
10,10,100,B,22,22,GlaucP.cau,4,P.cau,Yes,50
10,10,101,B,22,22,GlaucP.cau,5,Glauc,Yes,1474
10,10,101,B,22,22,GlaucP.cau,5,P.cau,Yes,60
10,10,102,B,22,22,GlaucP.cau,6,Glauc,Yes,1018
10,10,102,B,22,22,GlaucP.cau,6,P.cau,Yes,94
10,10,88,B,22,22,P.cau,4,P.cau,No,68
10,10,89,B,22,22,P.cau,5,P.cau,No,199
10,10,90,B,22,22,P.cau,6,P.cau,No,191
10,10,76,B,22,22,Tetra,4,Tetra,No,1423
10,10,77,B,22,22,Tetra,5,Tetra,No,1857
10,10,78,B,22,22,Tetra,6,Tetra,No,1841
10,10,94,B,22,22,TetraP.cau,4,Tetra,Yes,891
10,10,94,B,22,22,TetraP.cau,4,P.cau,Yes,87
10,10,95,B,22,22,TetraP.cau,5,Tetra,Yes,1594
10,10,95,B,22,22,TetraP.cau,5,P.cau,Yes,99
10,10,96,B,22,22,TetraP.cau,6,Tetra,Yes,193
10,10,96,B,22,22,TetraP.cau,6,P.cau,Yes,94
10,10,148,B,25,25,Glauc,4,Glauc,No,373
10,10,149,B,25,25,Glauc,5,Glauc,No,521
10,10,150,B,25,25,Glauc,6,Glauc,No,520
10,10,166,B,25,25,GlaucP.cau,4,Glauc,Yes,686
10,10,166,B,25,25,GlaucP.cau,4,P.cau,Yes,169
10,10,167,B,25,25,GlaucP.cau,5,Glauc,Yes,488
10,10,167,B,25,25,GlaucP.cau,5,P.cau,Yes,161
10,10,168,B,25,25,GlaucP.cau,6,Glauc,Yes,386
10,10,168,B,25,25,GlaucP.cau,6,P.cau,Yes,83
10,10,154,B,25,25,P.cau,4,P.cau,No,165
10,10,155,B,25,25,P.cau,5,P.cau,No,201
10,10,156,B,25,25,P.cau,6,P.cau,No,287
10,10,142,B,25,25,Tetra,4,Tetra,No,733
10,10,143,B,25,25,Tetra,5,Tetra,No,2010
10,10,144,B,25,25,Tetra,6,Tetra,No,1712
10,10,160,B,25,25,TetraP.cau,4,Tetra,Yes,442
10,10,160,B,25,25,TetraP.cau,4,P.cau,Yes,81
10,10,161,B,25,25,TetraP.cau,5,Tetra,Yes,512
10,10,161,B,25,25,TetraP.cau,5,P.cau,Yes,177
10,10,162,B,25,25,TetraP.cau,6,Tetra,Yes,626
10,10,162,B,25,25,TetraP.cau,6,P.cau,Yes,144
15,15,13,A,19,19,Glauc,1,Glauc,No,1254
15,15,14,A,19,19,Glauc,2,Glauc,No,1668
15,15,15,A,19,19,Glauc,3,Glauc,No,2499
15,15,31,A,19,19,GlaucP.cau,1,Glauc,Yes,866
15,15,31,A,19,19,GlaucP.cau,1,P.cau,Yes,107
15,15,32,A,19,19,GlaucP.cau,2,Glauc,Yes,836
15,15,32,A,19,19,GlaucP.cau,2,P.cau,Yes,131
15,15,33,A,19,19,GlaucP.cau,3,Glauc,Yes,853
15,15,33,A,19,19,GlaucP.cau,3,P.cau,Yes,71
15,15,19,A,19,19,P.cau,1,P.cau,No,17
15,15,20,A,19,19,P.cau,2,P.cau,No,65
15,15,21,A,19,19,P.cau,3,P.cau,No,56
15,15,7,A,19,19,Tetra,1,Tetra,No,1499
15,15,8,A,19,19,Tetra,2,Tetra,No,2037
15,15,9,A,19,19,Tetra,3,Tetra,No,1940
15,15,25,A,19,19,TetraP.cau,1,Tetra,Yes,2166
15,15,25,A,19,19,TetraP.cau,1,P.cau,Yes,2.84758
15,15,26,A,19,19,TetraP.cau,2,Tetra,Yes,801
15,15,26,A,19,19,TetraP.cau,2,P.cau,Yes,57
15,15,27,A,19,19,TetraP.cau,3,Tetra,Yes,590
15,15,27,A,19,19,TetraP.cau,3,P.cau,Yes,81
15,15,79,A,22,22,Glauc,1,Glauc,No,1295
15,15,80,A,22,22,Glauc,2,Glauc,No,1612
15,15,81,A,22,22,Glauc,3,Glauc,No,2134
15,15,97,A,22,22,GlaucP.cau,1,Glauc,Yes,775
15,15,97,A,22,22,GlaucP.cau,1,P.cau,Yes,157
15,15,98,A,22,22,GlaucP.cau,2,Glauc,Yes,1063
15,15,98,A,22,22,GlaucP.cau,2,P.cau,Yes,167
15,15,99,A,22,22,GlaucP.cau,3,Glauc,Yes,1064
15,15,99,A,22,22,GlaucP.cau,3,P.cau,Yes,193
15,15,85,A,22,22,P.cau,1,P.cau,No,63
15,15,86,A,22,22,P.cau,2,P.cau,No,227
15,15,87,A,22,22,P.cau,3,P.cau,No,167
15,15,73,A,22,22,Tetra,1,Tetra,No,2879
15,15,74,A,22,22,Tetra,2,Tetra,No,2101
15,15,75,A,22,22,Tetra,3,Tetra,No,2234
15,15,91,A,22,22,TetraP.cau,1,Tetra,Yes,3318
15,15,91,A,22,22,TetraP.cau,1,P.cau,Yes,4.47187
15,15,92,A,22,22,TetraP.cau,2,Tetra,Yes,805
15,15,92,A,22,22,TetraP.cau,2,P.cau,Yes,99
15,15,93,A,22,22,TetraP.cau,3,Tetra,Yes,728
15,15,93,A,22,22,TetraP.cau,3,P.cau,Yes,166
15,15,145,A,25,25,Glauc,1,Glauc,No,523
15,15,146,A,25,25,Glauc,2,Glauc,No,1137
15,15,147,A,25,25,Glauc,3,Glauc,No,1047
15,15,163,A,25,25,GlaucP.cau,1,Glauc,Yes,454
15,15,163,A,25,25,GlaucP.cau,1,P.cau,Yes,121
15,15,164,A,25,25,GlaucP.cau,2,Glauc,Yes,985
15,15,164,A,25,25,GlaucP.cau,2,P.cau,Yes,196
15,15,165,A,25,25,GlaucP.cau,3,Glauc,Yes,536
15,15,165,A,25,25,GlaucP.cau,3,P.cau,Yes,108
15,15,151,A,25,25,P.cau,1,P.cau,No,145
15,15,152,A,25,25,P.cau,2,P.cau,No,220
15,15,153,A,25,25,P.cau,3,P.cau,No,34
15,15,139,A,25,25,Tetra,1,Tetra,No,1585
15,15,140,A,25,25,Tetra,2,Tetra,No,912
15,15,141,A,25,25,Tetra,3,Tetra,No,1467
15,15,157,A,25,25,TetraP.cau,1,Tetra,Yes,530
15,15,157,A,25,25,TetraP.cau,1,P.cau,Yes,114
15,15,158,A,25,25,TetraP.cau,2,Tetra,Yes,434
15,15,158,A,25,25,TetraP.cau,2,P.cau,Yes,99
15,15,159,A,25,25,TetraP.cau,3,Tetra,Yes,543
15,15,159,A,25,25,TetraP.cau,3,P.cau,Yes,170
15,15,16,B,19,19,Glauc,4,Glauc,No,1263
15,15,17,B,19,19,Glauc,5,Glauc,No,1740
15,15,18,B,19,19,Glauc,6,Glauc,No,1529
15,15,34,B,19,19,GlaucP.cau,4,Glauc,Yes,946
15,15,34,B,19,19,GlaucP.cau,4,P.cau,Yes,18
15,15,35,B,19,19,GlaucP.cau,5,Glauc,Yes,912
15,15,35,B,19,19,GlaucP.cau,5,P.cau,Yes,90
15,15,36,B,19,19,GlaucP.cau,6,Glauc,Yes,1209
15,15,36,B,19,19,GlaucP.cau,6,P.cau,Yes,118
15,15,22,B,19,19,P.cau,4,P.cau,No,51
15,15,23,B,19,19,P.cau,5,P.cau,No,161
15,15,24,B,19,19,P.cau,6,P.cau,No,118
15,15,10,B,19,19,Tetra,4,Tetra,No,1891
15,15,11,B,19,19,Tetra,5,Tetra,No,2109
15,15,12,B,19,19,Tetra,6,Tetra,No,1147
15,15,28,B,19,19,TetraP.cau,4,Tetra,Yes,464
15,15,28,B,19,19,TetraP.cau,4,P.cau,Yes,75
15,15,29,B,19,19,TetraP.cau,5,Tetra,Yes,1093
15,15,29,B,19,19,TetraP.cau,5,P.cau,Yes,105
15,15,30,B,19,19,TetraP.cau,6,Tetra,Yes,691
15,15,30,B,19,19,TetraP.cau,6,P.cau,Yes,71
15,15,82,B,22,22,Glauc,4,Glauc,No,1036
15,15,83,B,22,22,Glauc,5,Glauc,No,1703
15,15,84,B,22,22,Glauc,6,Glauc,No,1678
15,15,100,B,22,22,GlaucP.cau,4,Glauc,Yes,824
15,15,100,B,22,22,GlaucP.cau,4,P.cau,Yes,24
15,15,101,B,22,22,GlaucP.cau,5,Glauc,Yes,1055
15,15,101,B,22,22,GlaucP.cau,5,P.cau,Yes,76
15,15,102,B,22,22,GlaucP.cau,6,Glauc,Yes,1083
15,15,102,B,22,22,GlaucP.cau,6,P.cau,Yes,56
15,15,88,B,22,22,P.cau,4,P.cau,No,36
15,15,89,B,22,22,P.cau,5,P.cau,No,114
15,15,90,B,22,22,P.cau,6,P.cau,No,248
15,15,76,B,22,22,Tetra,4,Tetra,No,1682
15,15,77,B,22,22,Tetra,5,Tetra,No,1836
15,15,78,B,22,22,Tetra,6,Tetra,No,1448
15,15,94,B,22,22,TetraP.cau,4,Tetra,Yes,793
15,15,94,B,22,22,TetraP.cau,4,P.cau,Yes,113
15,15,95,B,22,22,TetraP.cau,5,Tetra,Yes,1159
15,15,95,B,22,22,TetraP.cau,5,P.cau,Yes,203
15,15,96,B,22,22,TetraP.cau,6,Tetra,Yes,321
15,15,96,B,22,22,TetraP.cau,6,P.cau,Yes,144
15,15,148,B,25,25,Glauc,4,Glauc,No,487
15,15,149,B,25,25,Glauc,5,Glauc,No,853
15,15,150,B,25,25,Glauc,6,Glauc,No,606
15,15,166,B,25,25,GlaucP.cau,4,Glauc,Yes,316
15,15,166,B,25,25,GlaucP.cau,4,P.cau,Yes,73
15,15,167,B,25,25,GlaucP.cau,5,Glauc,Yes,595
15,15,167,B,25,25,GlaucP.cau,5,P.cau,Yes,153
15,15,168,B,25,25,GlaucP.cau,6,Glauc,Yes,566
15,15,168,B,25,25,GlaucP.cau,6,P.cau,Yes,170
15,15,154,B,25,25,P.cau,4,P.cau,No,65
15,15,155,B,25,25,P.cau,5,P.cau,No,208
15,15,156,B,25,25,P.cau,6,P.cau,No,232
15,15,142,B,25,25,Tetra,4,Tetra,No,972
15,15,143,B,25,25,Tetra,5,Tetra,No,1934
15,15,144,B,25,25,Tetra,6,Tetra,No,2052
15,15,160,B,25,25,TetraP.cau,4,Tetra,Yes,611
15,15,160,B,25,25,TetraP.cau,4,P.cau,Yes,130
15,15,161,B,25,25,TetraP.cau,5,Tetra,Yes,263
15,15,161,B,25,25,TetraP.cau,5,P.cau,Yes,62
15,15,162,B,25,25,TetraP.cau,6,Tetra,Yes,640
15,15,162,B,25,25,TetraP.cau,6,P.cau,Yes,161
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
